Ciudad,Colonia,operacion,tipo_propiedad,PxM2_median,periodo
Gdl,Zona Industrial,Ven,Ofc,19270.38626609442,Sep25
Zap,27 de Septiembre,Ven,Dep,39601.6548463357,Sep25
Zap,Acacias,Ven,Dep,50618.56435643564,Sep25
Zap,Agraria,Ven,Dep,27986.348122866893,Sep25
Zap,Agrícola,Ven,Cas,83643.12267657992,Sep25
Zap,Agrícola,Ven,Dep,37203.38983050847,Sep25
Zap,Agua Blanca Sur,Ven,Cas,14598.540145985402,Sep25
Zap,Alamitos,Ven,Cas,19488.372093023256,Sep25
Zap,Albaterra,Ven,Cas,21218.896713615024,Sep25
Zap,Alcázar Oriente,Ven,Cas,72580.64516129032,Sep25
Zap,Alcázar Poniente,Ven,Cas,62994.276,Sep25
Zap,Alianza de Cazadores Diana,Ven,Cas,35890.669439655176,Sep25
Zap,Alicante,Ven,Cas,25268.817204301075,Sep25
Zap,Alma Terra,Ven,Dep,19375.0,Sep25
Zap,Altabrisa,Ven,Dep,11148.648648648648,Sep25
Zap,Altagracia,Ven,Dep,22075.471698113208,Sep25
Zap,Altaluz,Ven,Cas,22113.095238095237,Sep25
Zap,Altamira,Ven,Cas,39364.22366668654,Sep25
Zap,Altamira,Ven,Dep,57137.53626597664,Sep25
Zap,Altezza,Ven,Cas,26362.637362637364,Sep25
Zap,Altus Quintas,Ven,Cas,20108.695652173912,Sep25
Zap,Alviento,Ven,Dep,26595.744680851065,Sep25
Zap,Amaranto,Ven,Cas,21018.984889577685,Sep25
Zap,Ampliación Santa Lucia,Ven,Cas,11200.0,Sep25
Zap,Arauca I,Ven,Cas,47480.813814814814,Sep25
Zap,Arauca II,Ven,Cas,51036.87541666666,Sep25
Zap,Arboledas de Tesistán,Ven,Dep,24299.065420560742,Sep25
Zap,Arboledas de Tesistán,Ven,Local comercial,34761.90476190476,Sep25
Zap,Arboreto Residencial,Ven,Cas,20384.615384615383,Sep25
Zap,Arcos de Guadalupe,Ven,Cas,32093.827160493827,Sep25
Zap,Arcos de Guadalupe,Ven,Dep,54854.36893203884,Sep25
Zap,Arcos de Zapopan,Ven,Cas,30000.0,Sep25
Zap,Arcos de Zapopan,Ven,Dep,21323.529411764703,Sep25
Zap,Arenales Tapatíos,Ven,Cas,26079.50244739365,Sep25
Zap,Arenales Tapatíos,Ven,Dep,41002.824858757056,Sep25
Zap,Argenta Parque Residencial,Ven,Cas,30764.957264957266,Sep25
Zap,Argenta Parque Residencial,Ven,Terreno / Lote,26742.424242424244,Sep25
Zap,Arrayanes Hábitat,Ven,Cas,26020.408163265307,Sep25
Zap,Arroyo Hondo,Ven,Cas,13915.09433962264,Sep25
